,STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
35,3451.0,3.0,1.0,36.0,1.0,71.0,53926.0,7.0,5.397605346934028e-79,88.9237,2665.0,245.0,45.0,199.0,2.0,6.0,3.0,36.0,20.0,171.0,7.0,1.0,393.0,19.0,441.0,5.397605346934028e-79,18.0,34.0,8.0,5.397605346934028e-79,5.0,129.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,5.397605346934028e-79,128.0,5.0,80.0,41.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,9.0,127.0,280.0,172.0,40.0,5.397605346934028e-79,741.0,5.397605346934028e-79,1.0,1.0
36,3451.0,3.0,1.0,37.0,1.0,73.0,679768.0,26.0,1.0,84.1693,31144.0,5842.0,1560.0,4282.0,104.0,46.0,379.0,1031.0,523.0,3426.0,302.0,32.0,4234.0,247.0,2332.0,22.0,258.0,478.0,422.0,113.0,23.0,3746.0,136.0,61.0,19.0,22.0,34.0,3611.0,1364.0,2081.0,151.0,15.0,11.0,5.397605346934028e-79,5.397605346934028e-79,11.0,23.0,2138.0,893.0,1463.0,368.0,27.0,8454.0,5.397605346934028e-79,20.0,31.0
37,3451.0,3.0,1.0,38.0,1.0,75.0,15904.0,4.0,5.397605346934028e-79,13.5249,689.0,77.0,25.0,51.0,1.0,2.0,3.0,20.0,10.0,38.0,3.0,5.397605346934028e-79,98.0,6.0,61.0,5.397605346934028e-79,7.0,8.0,4.0,5.397605346934028e-79,1.0,43.0,3.0,1.0,1.0,1.0,5.397605346934028e-79,40.0,5.0,29.0,5.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,8.0,73.0,42.0,35.0,12.0,5.397605346934028e-79,213.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
38,3451.0,3.0,1.0,39.0,1.0,77.0,87966.0,7.0,5.397605346934028e-79,98.6643,3271.0,486.0,73.0,413.0,5.0,1.0,19.0,48.0,24.0,382.0,5.0,1.0,415.0,29.0,14.0,5.397605346934028e-79,22.0,20.0,30.0,5.397605346934028e-79,4.0,201.0,5.0,1.0,2.0,2.0,5.397605346934028e-79,195.0,9.0,170.0,16.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,4.0,357.0,379.0,268.0,56.0,5.397605346934028e-79,976.0,5.397605346934028e-79,11.0,5.397605346934028e-79
39,3451.0,3.0,1.0,40.0,1.0,79.0,34803.0,5.0,5.397605346934028e-79,98.253,1705.0,101.0,22.0,78.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,22.0,12.0,62.0,5.0,5.397605346934028e-79,350.0,6.0,219.0,5.397605346934028e-79,1.0,20.0,6.0,5.397605346934028e-79,4.0,58.0,2.0,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79,56.0,5.397605346934028e-79,55.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,12.0,132.0,171.0,58.0,21.0,5.397605346934028e-79,545.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
40,3451.0,3.0,1.0,41.0,1.0,81.0,113085.0,4.0,1.0,100.0,4679.0,612.0,161.0,451.0,11.0,15.0,30.0,105.0,54.0,369.0,27.0,1.0,641.0,40.0,256.0,5.397605346934028e-79,19.0,64.0,56.0,5.397605346934028e-79,9.0,307.0,12.0,1.0,4.0,3.0,4.0,295.0,39.0,241.0,8.0,7.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,29.0,744.0,239.0,179.0,127.0,1.0,1340.0,5.397605346934028e-79,5.397605346934028e-79,16.0
41,3451.0,3.0,1.0,42.0,1.0,83.0,65190.0,3.0,1.0,100.0,4260.0,414.0,74.0,340.0,4.0,4.0,20.0,46.0,89.0,231.0,20.0,5.397605346934028e-79,466.0,58.0,214.0,5.397605346934028e-79,18.0,42.0,18.0,1.0,7.0,241.0,23.0,23.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,218.0,22.0,189.0,4.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,92.0,783.0,254.0,253.0,48.0,17.0,1331.0,5.397605346934028e-79,5.397605346934028e-79,3.0
42,3451.0,3.0,1.0,43.0,1.0,85.0,13473.0,3.0,5.397605346934028e-79,83.0921,804.0,114.0,66.0,49.0,1.0,2.0,8.0,54.0,21.0,25.0,3.0,5.397605346934028e-79,233.0,4.0,47.0,5.397605346934028e-79,29.0,27.0,5.0,5.397605346934028e-79,1.0,41.0,5.0,1.0,3.0,5.397605346934028e-79,5.397605346934028e-79,36.0,9.0,27.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,8.0,71.0,11.0,22.0,31.0,1.0,158.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
43,3451.0,3.0,1.0,44.0,1.0,87.0,24132.0,4.0,1.0,100.0,1007.0,182.0,65.0,117.0,6.0,1.0,11.0,47.0,24.0,80.0,12.0,1.0,267.0,9.0,14.0,5.397605346934028e-79,16.0,37.0,15.0,1.0,1.0,38.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,37.0,6.0,31.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,52.0,5.397605346934028e-79,49.0,49.0,3.0,274.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
44,3451.0,3.0,1.0,45.0,1.0,89.0,277103.0,9.0,1.0,99.4291,8726.0,1852.0,417.0,1436.0,6.0,12.0,93.0,306.0,182.0,1205.0,38.0,11.0,1541.0,119.0,126.0,4.0,115.0,92.0,85.0,5.397605346934028e-79,29.0,842.0,26.0,20.0,6.0,5.397605346934028e-79,5.397605346934028e-79,815.0,206.0,604.0,4.0,1.0,4.0,5.397605346934028e-79,5.397605346934028e-79,4.0,69.0,871.0,140.0,291.0,422.0,68.0,1931.0,5.397605346934028e-79,5.397605346934028e-79,123.0
45,3451.0,3.0,1.0,46.0,1.0,91.0,22539.0,5.0,5.397605346934028e-79,33.4531,1529.0,192.0,80.0,113.0,2.0,8.0,7.0,63.0,23.0,79.0,10.0,5.397605346934028e-79,229.0,29.0,184.0,5.397605346934028e-79,23.0,23.0,7.0,5.397605346934028e-79,5.0,68.0,4.0,2.0,1.0,1.0,5.397605346934028e-79,64.0,13.0,46.0,4.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,10.0,122.0,35.0,44.0,58.0,2.0,496.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
